"","dwc.scientificName","decimalLongitude","decimalLatitude","idigbio.isoCountryCode","dwc.individualCount","coreid","dwc.taxonRank","dwc.coordinateUncertaintyInMeters","year","dwc.basisOfRecord","dwc.institutionCode","species"
"371","physalaemus fuscomaculatus",-44.5778,-17.8889,NA,1,"4b60f517-e44e-4125-8cad-96bec39a172e","species",NA,1935,"preservedspecimen","usnm","Physalaemus_fuscomaculatus"
"372","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"2204ee9e-a064-4a09-a21d-c4a0873c81c0","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"373","leptodactylus knudseni",-63.45,-9.62,NA,26,"be1cb009-d89b-4c5b-a807-5436c70e2f43","species",NA,1984,"preservedspecimen","usnm","Leptodactylus_knudseni"
"374","leptodactylus ocellatus",-49.25,-25.4167,NA,1,"ff1dc9ef-26ea-42bc-a4f2-f7589c004ef0","species",11990,1963,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"375","leptodactylus podicipinus",-61.7,-6.03,NA,1,"59c6e83b-22f9-463f-8bce-4ee011a8a6d9","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"376","leptodactylus fuscus",-39.7333,-7.18333,NA,1,"5047c0be-46e4-4682-b457-d9b524ef2046","species",11990,1979,"preservedspecimen","usnm","Leptodactylus_fuscus"
"377","leptodactylus chaquensis",-56.8,-17.3333,NA,1,"3b2b338a-85f4-4599-a6e5-6fe3d316a022","species",10115,1985,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"378","leptodactylus chaquensis",-56.8,-17.3333,NA,1,"a71c1aea-1ed3-435c-8ad1-1310077babe6","species",10115,1985,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"379","adenomera marmorata",-48.93,-26.2,NA,1,"cceff44e-68dc-47c3-b9fb-3be0e1168560","species",6115,1978,"preservedspecimen","usnm","Adenomera_marmorata"
"380","leptodactylus mystacinus",-47.7,-21.6,NA,1,"d3eaf526-61b1-45c2-8b30-f9b16d24d5e0","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_mystacinus"
"381","adenomera andreae",-64.6,-7.08,NA,1,"3dc03085-a93b-447a-9663-cf6adabc394d","species",NA,1974,"preservedspecimen","usnm","Adenomera_andreae"
"382","leptodactylus ocellatus",-61.67,3.42,NA,1,"d35158ff-aae1-4768-abff-2120dc44f4e4","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_ocellatus"
